"","Tile","CellPopulation","Foreground","Background","P_value","Test-Statistic","FDR","Log2FC_C","MeanDiff","Avg_Intensity_Case","Pct0_Case","Avg_Intensity_Control","Pct0_Control"
"1","chr1:100896000-100896499","CD16 Mono","Positive","Negative",0.00130647466553213,10.3333556149733,0.0633062076858404,0.503920033876635,0.483341899129634,14.5264213003147,0,14.0484356109149,0
"2","chr1:1009000-1009499","CD16 Mono","Positive","Negative",0.000387863758101292,15.7097128378378,0.0444643946738631,1.25393307154424,1.48261668684914,12.873069331745,0.0588235294117647,11.6324801561812,0.0909090909090909
"3","chr1:1019500-1019999","CD16 Mono","Positive","Negative",0.0040442562752212,8.26383689839572,0.0931797736865137,0.452607634548226,0.529565039464206,14.2872414805668,0,13.8967598298417,0
"4","chr1:10208500-10208999","CD16 Mono","Positive","Negative",0.0180353322381377,5.59271390374332,0.168071907571245,-0.321934103855645,-0.293135098943807,13.8483860754048,0,14.0098983909306,0
"5","chr1:1033000-1033499","CD16 Mono","Positive","Negative",0.00136199915491397,13.1976033834586,0.065123893918861,0.841163480693484,0.664410580757762,13.2155960289514,0.0588235294117647,12.4812077232765,0.0454545454545455
"6","chr1:1038500-1038999","CD16 Mono","Positive","Negative",0.00132524470235873,13.2523163111398,0.063886412463345,0.988400474886742,1.55919081463403,13.1052241907681,0,12.2516032426971,0.0454545454545455
"7","chr1:1040500-1040999","CD16 Mono","Positive","Negative",0.000713116361342303,11.4547459893048,0.0531187787266993,0.880195107844008,0.979512914775642,13.3730826282885,0,12.4886341201612,0
"8","chr1:10472500-10472999","CD16 Mono","Positive","Negative",0.0132054439872084,6.14137700534759,0.145563621302036,-0.413519566304149,-0.396575154270058,13.3224614116445,0,13.6668017470305,0
"9","chr1:10474500-10474999","CD16 Mono","Positive","Negative",0.0226120916215053,5.1980614973262,0.185159450830669,0.41451220944435,0.413049313968749,13.5086014372072,0,13.1523601559215,0
"10","chr1:1059500-1059999","CD16 Mono","Positive","Negative",0.0112503738509744,6.42533422459893,0.137383976669855,0.502483966223582,0.510956120076626,13.7726992323917,0,13.212974379081,0
"11","chr1:1064000-1064499","CD16 Mono","Positive","Negative",0.00017495912063259,14.0825534759358,0.0373792812545793,0.891834545314982,0.95742562765429,13.3476988338172,0,12.450447069745,0
"12","chr1:107591000-107591499","CD16 Mono","Positive","Negative",0.0233086700553091,7.51785976449289,0.189838135542952,-0.527922518228475,-1.93253852980183,11.847216896388,0.117647058823529,12.4147186777323,0
"13","chr1:108746500-108746999","CD16 Mono","Positive","Negative",0.00337510639939909,8.59271390374331,0.0863565635937674,0.358395134170978,0.334403229156258,15.4443746666711,0,15.0756046433079,0
"14","chr1:109041500-109041999","CD16 Mono","Positive","Negative",0.0204607265794921,7.77849601379013,0.179011855316833,0.503086640637562,1.1524348914944,12.9859696254511,0,12.3923588926833,0.0454545454545455
"15","chr1:109075500-109075999","CD16 Mono","Positive","Negative",0.0261968142581371,4.94298128342246,0.198328176075209,0.205885619056523,0.294951120101365,13.9227860581925,0,13.8248341960989,0
"16","chr1:109076000-109076499","CD16 Mono","Positive","Negative",0.0243473266264045,5.0697192513369,0.191719700998209,0.249653566264677,0.149526298693097,14.6900775388785,0,14.4242695307761,0
"17","chr1:109397500-109397999","CD16 Mono","Positive","Negative",0.0243473266264045,5.0697192513369,0.191719700998209,-0.439714614392814,-0.436847692992107,12.5266046920033,0,13.0816910303141,0
"18","chr1:10961000-10961499","CD16 Mono","Positive","Negative",0.0167014964604622,5.72747326203208,0.162864108942475,0.366539635221323,0.403404120375562,13.5086014372072,0,13.0703937497755,0
"19","chr1:109624500-109624999","CD16 Mono","Positive","Negative",0.0217207129229186,7.65897792223257,0.183190130715488,-0.570261312815755,-1.39083187540908,13.2428292107258,0.0588235294117647,13.676257871025,0
"20","chr1:109821000-109821499","CD16 Mono","Positive","Negative",0.00527531810019932,7.78255347593583,0.101995434801579,0.481800034137732,0.489947032245212,14.3386222772788,0,13.7945574776118,0
"21","chr1:110106000-110106499","CD16 Mono","Positive","Negative",0.0142912514585594,6.00180481283422,0.150846280365307,-0.479752538481249,-0.500263583946015,12.3388311630947,0,12.8632350812504,0
"22","chr1:11012000-11012499","CD16 Mono","Positive","Negative",0.000521520757953309,12.0370989304813,0.0479697813590859,0.35804433718056,0.384263881936336,14.2472935219261,0,13.8946493291974,0
"23","chr1:110338000-110338499","CD16 Mono","Positive","Negative",0.00627453353215113,7.4697192513369,0.109147335908593,0.231393599378716,0.199657229587807,14.8499326929439,0,14.6044775950935,0
"24","chr1:110421000-110421499","CD16 Mono","Positive","Negative",0.0103728312325021,6.5697192513369,0.132701306859018,0.562897132168312,0.317734007814838,13.4319183283391,0,12.9089148891815,0
"25","chr1:110634500-110634999","CD16 Mono","Positive","Negative",0.00175051904362056,9.79431818181818,0.0700835000332767,0.728748009332742,0.706545639078021,12.8523335392916,0,12.1959022772478,0
"26","chr1:111193000-111193499","CD16 Mono","Positive","Negative",0.0142912514585594,6.00180481283422,0.150846280365307,0.57887799926064,0.534326604465845,12.7050367087686,0,12.0705614685581,0
"27","chr1:111505500-111505999","CD16 Mono","Positive","Negative",0.00838415186381991,9.56282407607872,0.123846575410799,0.887611580685262,0.0598962171148099,13.0214414334564,0.0588235294117647,12.1486570606496,0
"28","chr1:111734000-111734499","CD16 Mono","Positive","Negative",0.0261968142581371,4.94298128342246,0.198328176075209,-0.33624923358085,-0.332437509656392,13.0746980902548,0,13.5706148951791,0
"29","chr1:112369500-112369999","CD16 Mono","Positive","Negative",0.0142912514585594,6.00180481283422,0.150846280365307,0.45525152753619,0.436949187285743,13.4418761644643,0,12.9117087676774,0
"30","chr1:1124000-1124499","CD16 Mono","Positive","Negative",0.0198281552248806,7.84130474056944,0.175577328149148,0.658393495850268,-0.906400055689335,12.6829740176479,0.117647058823529,11.9824641638025,0
"31","chr1:112700500-112700999","CD16 Mono","Positive","Negative",0.0194615599109831,5.45955882352941,0.173015645362055,-0.277778971637317,-0.28003465310902,15.092435770337,0,15.4145078398245,0
"32","chr1:115099000-115099499","CD16 Mono","Positive","Negative",0.0243473266264045,5.0697192513369,0.191719700998209,-0.296644274444223,-0.390524057816691,12.8976547787702,0,13.2061200803699,0
"33","chr1:115829000-115829499","CD16 Mono","Positive","Negative",0.00683544431196637,7.31570855614973,0.11295637654515,0.531768401437606,0.424891027108297,12.6829740176479,0,12.2118185797575,0
"34","chr1:116165000-116165499","CD16 Mono","Positive","Negative",0.0076488860599665,9.74639050964515,0.119837841172867,-0.927574080417795,-1.74473853597316,12.0267670132848,0.0588235294117647,13.1163264243007,0
