"","Estimate","Std. Error","z value","Pr(>|z|)","Gene","Promoter","Pathway","Unique_genes","Pval","TF"
"1",-0.0244670823202955,0.0338746917383159,-0.722282065599452,0.470121076931266,"TRAPPC2B, ZNF547","chr19:57362500-57362999","Toll Like Receptor 4 (TLR4) Cascade",47,0.470121076931266,"JUN"
"2",0.0109223381877095,0.00250139732008468,4.36649471877571,1.26256339186419e-05,"NFKB2","chr10:102394000-102394499","Toll Like Receptor 4 (TLR4) Cascade",47,1.26256339186419e-05,"JUN"
"3",-0.0209704283884329,0.0265465814333144,-0.789948357045939,0.429557928818043,"APPL2","chr12:105235000-105235499","Toll Like Receptor 4 (TLR4) Cascade",47,0.429557928818043,"JUN"
"4",0.00373869917139694,0.00235371370397807,1.58842562928451,0.112190125839689,"TRAPPC3","chr1:36149500-36149999","Toll Like Receptor 4 (TLR4) Cascade",47,0.112190125839689,"JUN"
"5",-0.0105361117763599,0.00586326710169104,-1.79696943591758,0.072340472081106,"RPS27A, MIR4426, CLHC1","chr2:55232000-55232499","Toll Like Receptor 4 (TLR4) Cascade",47,0.072340472081106,"JUN"
"6",0.00282418487154739,0.00279167745906604,1.01164440124549,0.311708108025203,"MIR3188, JUND","chr19:18281500-18281999","Toll Like Receptor 4 (TLR4) Cascade",47,0.311708108025203,"JUN"
"7",0.00629122308660144,0.00287157734821763,2.19085969963733,0.028461946854296,"NOD2","chr16:50696500-50696999","Toll Like Receptor 4 (TLR4) Cascade",47,0.028461946854296,"JUN"
"8",0.00804367893542711,0.00301574385087129,2.66722882750907,0.00764795798062175,"RELA","chr11:65663000-65663499","Toll Like Receptor 4 (TLR4) Cascade",47,0.00764795798062175,"JUN"
"9",0.00685162496634734,0.0036790805687111,1.86231990259123,0.0625580117346308,"MIR3188, JUND","chr19:18282000-18282499","Toll Like Receptor 4 (TLR4) Cascade",47,0.0625580117346308,"JUN"
"10",0.00184392633138039,0.0107690992510997,0.171223821824475,0.864047776979153,"MEF2C-AS1","chr5:88882500-88882999","Toll Like Receptor 4 (TLR4) Cascade",47,0.864047776979153,"JUN"
"11",0.000653994060632849,0.00243458724939651,0.268626257200255,0.788217304417593,"CREB1","chr2:207529500-207529999","Toll Like Receptor 4 (TLR4) Cascade",47,0.788217304417593,"JUN"
"12",0.0258062188077552,0.0121231502452018,2.12867268703274,0.0332813500965107,"IKBKG","chrX:154546000-154546499","Toll Like Receptor 4 (TLR4) Cascade",47,0.0332813500965107,"JUN"
"13",0.0016550017448619,0.0112052475136515,0.147698811904475,0.882580469316053,"TLR6","chr4:38857000-38857499","Toll Like Receptor 4 (TLR4) Cascade",47,0.882580469316053,"JUN"
"14",0.00751140038366029,0.00242683513930277,3.09514241903483,0.0019671841412402,"UBE2D3, UBE2D3-AS1","chr4:102827000-102827499","Toll Like Receptor 4 (TLR4) Cascade",47,0.0019671841412402,"JUN"
"15",-0.0148905504740217,0.00599343793574096,-2.48447562712282,0.012974238926104,"MAP3K7CL","chr21:29090000-29090499","Toll Like Receptor 4 (TLR4) Cascade",47,0.012974238926104,"JUN"
"16",0.00247475312985118,0.00474494475765029,0.521555730624921,0.601979693060446,"RPS6KA3","chrX:20267000-20267499","Toll Like Receptor 4 (TLR4) Cascade",47,0.601979693060446,"JUN"
